tweet_id,favorites,retweet_count
868639477480148993,0,1744
868622495443632128,23592,4448
868552278524837888,8943,1744
867900495410671616,21547,3555
867774946302451713,30160,6230
867421006826221569,14309,2109
867072653475098625,0,100
867051520902168576,28635,6756
866720684873056260,17820,4121
866686824827068416,17082,2955
866450705531457537,108574,30086
866334964761202691,46464,12168
866094527597207552,0,7140
865718153858494464,22855,4820
865359393868664832,23543,4272
865006731092295680,24985,6640
864873206498414592,28780,7479
864279568663928832,13042,2573
864197398364647424,26579,7560
863907417377173506,18395,3580
863553081350529029,13643,3617
863471782782697472,0,2087
863432100342583297,21246,4544
863427515083354112,1956,80
863079547188785154,7880,950
863062471531167744,7507,2087
862831371563274240,17189,4448
862722525377298433,15305,3079
862457590147678208,18227,4232
862096992088072192,66108,19924
861383897657036800,32208,9238
861288531465048066,15316,3578
861005113778896900,14959,3321
860981674716409858,0,1850
860924035999428608,0,676
860563773140209665,6708,1850
860524505164394496,21206,4589
860276583193509888,16542,3057
860184849394610176,14975,5109
860177593139703809,0,26640
859924526012018688,17595,3573
859851578198683649,13953,3061
859607811541651456,16803,1361
859196978902773760,80349,26189
859074603037188101,30355,11929
858860390427611136,0,7058
858843525470990336,14096,3019
858471635011153920,19434,4244
858107933456039936,14202,2534
857989990357356544,14465,2261
857746408056729600,30737,9321
857393404942143489,5295,1438
857263160327368704,18208,3963
857214891891077121,203,16
857062103051644929,0,146
857029823797047296,17011,3475
856543823941562368,14803,2538
856526610513747968,10798,1651
856288084350160898,488,15
856282028240666624,25180,5565
855862651834028034,303,21
855860136149123072,4399,850
855857698524602368,10837,1854
855851453814013952,41835,16089
855818117272018944,24233,4802
855459453768019968,27036,7289
855245323840757760,0,5253
855138241867124737,0,36
854732716440526848,20642,5337
854482394044301312,26524,6005
854365224396361728,17164,4135
854120357044912130,29168,6575
854010172552949760,14816,2786
853760880890318849,26023,5107
853639147608842240,31487,8852
853299958564483072,14139,3165
852936405516943360,0,1783
852912242202992640,8236,1595
852672615818899456,13620,1906
852553447878664193,14872,3104
852311364735569921,30291,8855
852226086759018497,18317,6076
852189679701164033,10559,1416
851591660324737024,14931,3123
851464819735769094,22225,6296
851224888060895234,19002,5163
850753642995093505,28092,8059
850380195714523136,12060,2326
850333567704068097,3188,301
850145622816686080,15023,3387
850019790995546112,18753,4357
849776966551130114,27877,6801
849668094696017920,0,4436
849412302885593088,14658,2823
849336543269576704,10545,1685
849051919805034497,38948,7604
848690551926992896,23240,3914
848324959059550208,22794,4143
848213670039564288,7534,644
848212111729840128,15015,2712
847978865427394560,0,2916
847971574464610304,0,394
847962785489326080,21703,4564
847842811428974592,5006,1186
847617282490613760,6462,376
847606175596138505,17331,3078
847251039262605312,18933,3909
847157206088847362,18348,5246
847116187444137987,19848,2871
846874817362120707,18587,3543
846514051647705089,41113,10356
846505985330044928,13048,2756
846153765933735936,29059,8153
846139713627017216,28759,9149
846042936437604353,14787,2582
845812042753855489,26979,7846
845677943972139009,23398,4374
845397057150107648,7079,1619
845306882940190720,21585,4847
845098359547420673,0,6929
844979544864018432,12656,2306
844973813909606400,13910,2845
844580511645339650,15274,2808
844223788422217728,12680,1987
843981021012017153,14092,2698
843856843873095681,19935,4165
843604394117681152,15665,2475
843235543001513987,19936,5389
842846295480000512,14198,3312
842765311967449089,6286,1175
842535590457499648,16892,3171
842163532590374912,22698,5253
842115215311396866,13010,2755
841833993020538882,0,13540
841680585030541313,24015,7146
841439858740625411,11711,3312
841320156043304961,18395,5013
841314665196081154,14728,4228
841077006473256960,21307,4880
840761248237133825,0,1620
840728873075638272,0,14569
840698636975636481,163,2
840696689258311684,11464,889
840632337062862849,8416,1620
840370681858686976,15324,4173
840268004936019968,17867,5204
839990271299457024,12520,2065
839549326359670784,25540,7058
839290600511926273,0,132
839239871831150596,25205,5926
838952994649550848,18344,3659
838921590096166913,10413,1853
838916489579200512,0,31
838831947270979586,0,10005
838561493054533637,10236,1230
838476387338051585,20939,4336
838201503651401729,0,9164
838150277551247360,1568,303
838085839343206401,134,1
838083903487373313,16442,2835
837820167694528512,31799,7140
837482249356513284,3602,405
837471256429613056,11968,2060
837110210464448512,15054,2176
836989968035819520,11935,2109
836753516572119041,18097,4259
836677758902222849,11831,2021
836648853927522308,0,507
836397794269200385,0,25037
836380477523124226,13893,2744
836260088725786625,19932,3976
836001077879255040,17872,3883
835685285446955009,0,7406
835574547218894849,16624,3293
835536468978302976,0,1540
835309094223372289,0,19126
835297930240217089,15415,2734
835264098648616962,7224,1540
835246439529840640,1988,63
835172783151792128,24541,5288
835152434251116546,20921,2755
834931633769889797,10087,1490
834786237630337024,20190,5105
834574053763584002,12798,2307
834477809192075265,0,9750
834458053273591808,9022,1545
834209720923721728,19214,4318
834167344700198914,14812,3359
834089966724603904,9435,1962
834086379323871233,12222,2039
833863086058651648,12600,2208
833826103416520705,17059,3483
833732339549220864,0,204
833722901757046785,19649,2994
833479644947025920,13982,1888
833124694597443584,18971,4436
832998151111966721,12408,2008
832769181346996225,0,38
832757312314028032,15824,3314
832682457690300417,11126,2664
832645525019123713,2734,484
832636094638288896,14870,2555
832397543355072512,11220,2036
832369877331693569,16050,2916
832273440279240704,10640,2140
832215909146226688,0,5712
832215726631055365,0,8574
832088576586297345,59,2
832040443403784192,0,8808
832032802820481025,16747,4296
831939777352105988,22452,5647
831926988323639298,319,34
831911600680497154,25800,5959
831670449226514432,9778,1686
831650051525054464,6672,1783
831552930092285952,8440,2157
831322785565769729,8741,1440
831315979191906304,6165,1035
831309418084069378,11073,2258
831262627380748289,11137,1885
830956169170665475,7500,1373
830583320585068544,62300,15381
830173239259324417,0,5228
